Picture,Director,Actor,Actress,SuppActor,SuppActress
0.8,0.9566,0.049,0.0,0.5474,0.7703
0.0907,0.0303,0.0491,0.0,0.0828,0.0273
0.0643,0.0065,0.0,0.9677,0.0,0.0
0.016,0.0036,0.8432,0.0,0.0,0.0
0.0071,0.003,0.0,0.0055,0.2051,0.0388
0.0051,0.0,0.0,0.0,0.0,0.0
0.0047,0.0,0.0,0.0072,0.0,0.0
0.0039,0.0,0.0,0.0,0.1647,0.0
0.0047,0.0,0.0,0.0,0.0,0.0
0.0035,0.0,0.032,0.0,0.0,0.0
0.0,0.0,0.0267,0.0,0.0,0.0
0.0,0.0,0.0,0.0173,0.0,0.0
0.0,0.0,0.0,0.0023,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.1636
