,Picture,Director,Actor,Actress,SuppActor,SuppActress
Picture,0.9545454545454546,0.7424242424242424,0.2727272727272727,0.15151515151515152,0.18181818181818182,0.10606060606060606
Director,0.7424242424242424,1.0,0.2727272727272727,0.15151515151515152,0.19696969696969696,0.09090909090909091
Actor,0.2727272727272727,0.2727272727272727,1.0,0.09090909090909091,0.06060606060606061,0.06060606060606061
Actress,0.15151515151515152,0.15151515151515152,0.09090909090909091,1.0,0.09090909090909091,0.10606060606060606
SuppActor,0.18181818181818182,0.19696969696969696,0.06060606060606061,0.09090909090909091,1.0,0.09090909090909091
SuppActress,0.10606060606060606,0.09090909090909091,0.06060606060606061,0.10606060606060606,0.09090909090909091,1.0
